title,short_name,role_ids,description,remarks
System Administrator,sysadmin,"system-administrator, maintainer","Manages servers, operating systems, network devices, and core infrastructure. Has full administrative rights across all in-scope systems including the ability to create and delete accounts, modify security configurations, and install software.",Primary system administrator. Must hold a current baseline security clearance.
System Administrator,sysadmin,"system-administrator, maintainer","Secondary system administrator. Maintains high-availability standby access to support continuity of operations during the primary administrator's absence or in an incident response scenario.",Backup system administrator. Must hold a current baseline security clearance.
Privileged User — Security Operations,soc-analyst,"security-operations, asset-administrator","Reviews security alerts in the SIEM, performs event triage and investigation, and escalates confirmed incidents to the incident response team. Has read access to all system event logs and write access to SIEM detection rules and watchlists.","Role requires completion of the annual SOC analyst training module and holds a need-to-know for all system log data."
Privileged User — Database Administrator,dba,asset-administrator,"Manages database engines, schemas, user accounts, backup jobs, and performance tuning for all production database servers. Has elevated access to production database hosts and backup repositories. Cannot approve their own access changes.",Must not share the DBA account. All privileged database sessions are recorded via session monitoring.
Privileged User — Network Engineer,net-eng,"asset-administrator, maintainer","Configures and maintains firewalls, managed switches, routers, wireless infrastructure, and VPN concentrators. Has privileged access to all network devices via a dedicated jump server. Change requests must be approved before implementation.",Network device changes are subject to the change management process and require peer review.
Privileged User — IAM Administrator,iam-admin,asset-administrator,"Manages Active Directory, Entra ID, group policy objects, and role assignments. Can create, modify, disable, and delete accounts across all systems. Role assignment changes require secondary approval from the system owner.",IAM administrator account is separate from the individual's standard user account and must not be used for day-to-day tasks.
Privileged User — Backup and Recovery Operator,backup-op,maintainer,"Operates the Veeam backup platform and offsite cloud backup repositories. Has access to restore data from production backups and to configure backup schedules and retention policies. Cannot initiate a restore to production without system owner approval.",Restore-to-production requests must be logged in the ITSM system with system owner approval before execution.
General Staff — Standard User,staff,end-user,"Standard business user with access to email, shared document management, and approved line-of-business applications. Access is scoped to the minimum required for the individual's role in accordance with least privilege.","Standard user account. Access is provisioned during onboarding and reviewed at 12-month intervals, or immediately on change of role."
Remote / VPN User,remote-user,end-user,"Personnel who access organisational systems from outside the office over the approved IPSec or SSL VPN. No additional access beyond standard user entitlements is granted by virtue of remote access. All traffic is routed through the organisational perimeter.","Remote access requires MFA. Sessions are subject to a 60-minute idle timeout and are logged by the VPN gateway."
Service Desk Operator,helpdesk,"end-user, asset-administrator","Handles IT support requests via the ITSM portal. Can reset passwords and unlock accounts for standard users only. Cannot modify group memberships, grant privileged access, or action requests relating to privileged accounts. Escalates privileged access issues to the IAM administrator.",Service desk operators use a shared functional account for ITSM access only; all other system access is via their individual standard user account.
Developer — Development Environment,developer,end-user,"Software developer with access to the designated development and testing environments only. Has no access to production systems or production data. Deployment to production is performed exclusively through the approved CI/CD pipeline.","Developer accounts in the development environment do not carry over to staging or production. Production access requests must follow the privileged access process."
Auditor — Read Only,auditor,assessor,"Internal or external auditor with read-only access to system logs, configuration outputs, security documentation, and evidence artefacts required for audit purposes. Cannot modify any system configuration or data. Access is time-limited to the duration of the audit engagement.",Time-limited account. Access is provisioned on commencement of the audit engagement and revoked within 5 business days of completion. Access must be approved by the CISO.
Automated Service Account,svc-acct,asset-administrator,"Non-human account used by automated processes, scheduled tasks, and application-to-application integrations. Access is scoped to the minimum required for the associated service. Service accounts do not have interactive login capability and cannot be used by human users.","Each service account is owned by a nominated system owner. Service accounts are reviewed quarterly. Passwords are managed by the privileged access management solution and are rotated automatically every 90 days."
